Ver,11
DevCount,1,TextFormat,1
DevName,XBPQTYZ,LinkCount,205
NodePath,TagName,TagDesc,ParName,LinkDesc,连接标志,modbus批量建点标志,位运算结束位,批量下置,矢能点,操作类型,I/O数据地址,是否有位操作,表示驱动程序需要读取的数据长,单字节是0低八位；1高八位；,读写标志,数据实际长度,文件号,表示数据的格式,表示按位操作的那一位 或 单字节操作的高低字节 0 低字节 1 高字节
西部片区调压站\,B280902S_AM_ESDV103,新捷出口放空电动阀站控手自动切换控制,PV,DO3110,DO3110,-9999,0,0,0,1,3109,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV103,新捷出口放空电动阀中心开控制,PV,DO3111,DO3111,-9999,0,0,0,1,3110,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV103,新捷出口放空电动阀站控开控制,PV,DO3112,DO3112,-9999,0,0,0,1,3111,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV103,新捷出口放空电动阀中心关控制,PV,DO3113,DO3113,-9999,0,0,0,1,3112,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV103,新捷出口放空电动阀站控关控制,PV,DO3114,DO3114,-9999,0,0,0,1,3113,0,1,0,0,1,1,2,0
西部片区调压站\,B280902AM_ESDV103,新捷出口放空电动阀手自动状态,PV,DO3115,DO3115,-9999,0,0,0,1,3114,0,1,0,0,1,1,2,0
西部片区调压站\,B280902DA_ESDV103,新捷出口放空电动阀开关阀门超时报警,PV,DO3116,DO3116,-9999,0,0,0,1,3115,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV103_OF,新捷出口放空电动阀关到位,PV,DO3117,DO3117,-9999,0,0,0,1,3116,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV103_CF,新捷出口放空电动阀开到位,PV,DO3118,DO3118,-9999,0,0,0,1,3117,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV103_RL,新捷出口放空电动阀就地/远程状态指示,PV,DO3119,DO3119,-9999,0,0,0,1,3118,0,1,0,0,1,1,2,0
西部片区调压站\,B280902ESDV103_F,新捷出口放空电动阀综合故障报警,PV,DO3120,DO3120,-9999,0,0,0,1,3119,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSC_ESDV103,新捷出口放空电动阀关阀动作,PV,DO3121,DO3121,-9999,0,0,0,1,3120,0,1,0,0,1,1,2,0
西部片区调压站\,B280902XSO_ESDV103,新捷出口放空电动阀开阀动作,PV,DO3122,DO3122,-9999,0,0,0,1,3121,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_AM_ESDV104,广汇出口放空电动阀中心手自动切换控制,PV,DO3123,DO3123,-9999,0,0,0,1,3122,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_AM_ESDV104,广汇出口放空电动阀站控手自动切换控制,PV,DO3124,DO3124,-9999,0,0,0,1,3123,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_OPEN_ESDV104,广汇出口放空电动阀中心开控制,PV,DO3125,DO3125,-9999,0,0,0,1,3124,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_OPEN_ESDV104,广汇出口放空电动阀站控开控制,PV,DO3126,DO3126,-9999,0,0,0,1,3125,0,1,0,0,1,1,2,0
西部片区调压站\,B280902C_CLOSE_ESDV104,广汇出口放空电动阀中心关控制,PV,DO3127,DO3127,-9999,0,0,0,1,3126,0,1,0,0,1,1,2,0
西部片区调压站\,B280902S_CLOSE_ESDV104,广汇出口放空电动阀站控关控制,PV,DO3128,DO3128,-9999,0,0,0,1,3127,0,1,0,0,1,1,2,0
